Review ID,Submission Date,Initial Publish Date,Review Authorization Source,Moderation Status,Content Codes,User ID,Product ID,Product Name,Category,Category ID,Top Level Category,Top Level Category ID,"Category
Hierarchy",Product Brand,Featured Badge,Staff Badge,Expert Badge,Merit Rank,Is a Ratings-Only Review,Review Title,User Nickname,User Location,User Email Address,Shared Review with Facebook,Review Published Email,Review Commented Email,Overall Rating,Online Experience,Account Benefits,Customer Service,Rewards Program,Recommend to a Friend,Pros,Cons,Review Text,Client Comments,Photo 1,Photo 2,Video 1,# of Comments,"# of Comments
Approved","# of Comments
Rejected","# of Comments
in Moderation","# of Comments 
with Photo","# of Comments 
with Video","# of Helpful
Votes","# of Not Helpful
Votes","# of Inappropriate
Votes",Client Response 1,Response Department 1,Response Name 1,Response Type 1,Age,Member Since,Location,Net Promoter Score,Net Promoter Comment,Product Page URL,Campaign ID,Locale,Originating Domain,Display Code,Session Parameters
58596642,5/13/2014,5/13/2014,SITE,APPROVED,,1031225037,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Discover for College,CollegeKid1,,,0,No,No,5,5,4,5,3,Yes,,,"As a college student, the It Card is the only card I could get. I don't have credit being so young, Discover gave me a chance to start building. However, I still had to have my parents co-sign for it. I love my card, the online account allows me to track everything I buy. I haven't used any other services yet, but so far so good.",,,,,0,0,0,0,0,0,13,0,0,,,,,18-30,2013,Virginia,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58595719,5/13/2014,5/13/2014,SITE,APPROVED,PF,1030272574,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Good Card,Annex,,,0,No,No,4,4,4,5,3,Yes,,,The card is good for someone who wants their first credit card such as a college student. The benefits are great but the only thing is that the 5% cash back program which switches every 3 months or so is limited. There are a lot of other things you can get cash back on don't get me wrong but its not as much.,,,,,0,0,0,0,0,0,4,0,0,,,,,18-30,2013,Florida,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58586101,5/13/2014,5/13/2014,SITE,APPROVED,,1031688665,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great Rewards!,Jedi,,,0,No,No,5,5,5,5,5,Yes,,,I stopped using my other Credit Card because the Cash Rewards that Discovers offers are OUTSTANDING! Pays for my Gas!!! THANK YOU DISCOVER CARD! =),,,,,0,0,0,0,0,0,5,0,0,,,,,18-30,,Georgia,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58534932,5/12/2014,5/13/2014,SITE,APPROVED,MKT,1030045644,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,"Wow, What a Card!",DiscoverItFan,,,0,No,No,5,5,5,5,5,Yes,,,"Honestly speaking, I can say without a doubt the Discover It card has been the best card I have ever used (I have had it a full year). The customer service is phenomenal, with real people picking up the phone! The online features are incredible with Spend Tracker being one of my favorite ones! And I have recommended this card to several of my friends over other cards because I feel Discover really did me well with this card. I gave this card 5 stars for a reason, because I feel it truly is deserving of such a score. I don't believe anyone could go wrong with the Discover It card, and I would recommend it to anyone!",,,,,0,0,0,0,0,0,8,0,0,,,,,18-30,2013,Oregon,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58526894,5/12/2014,5/12/2014,SITE,APPROVED,,1031798025,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,excellent card,rrc28,,,0,No,No,5,5,5,5,5,Yes,,,"great card!! no annual fee and low APR, I have the one for students and I love it",,,,,0,0,0,0,0,0,4,0,0,,,,,18-30,,Florida,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58525716,5/12/2014,5/12/2014,SITE,APPROVED,BEN,1031527100,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great Credit Card Company,DiscoverBob,,,0,No,No,4,5,4,4,4,Yes,,,"I have had no problems with Discover except the FICO credit score, I received my score the when I applied for the card but I have not seen it on my statements since. This is not a big deal except that it is in the commercials as one of their big perks for monthly FICO scores.",,,,,0,0,0,0,0,0,6,2,0,,,,,18-30,2013,Virginia,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58523328,5/12/2014,5/12/2014,SITE,APPROVED,MKT,1029776108,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great starter card,shank,,,0,No,No,5,5,5,5,5,Yes,,,"This Discover card is great for students who want to build their credit history. It has a lot of tools to track expenditure, your FICO credit score and more and also has 5% cashback on various stuff depending on the time of the year.",,,,,0,0,0,0,0,0,2,0,0,,,,,18-30,2013,Florida,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58522805,5/12/2014,5/12/2014,SITE,APPROVED,MKT,1030319779,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great Starter,Kelly92,,,0,No,No,5,5,4,5,4,Yes,,,This is a good card for young people just starting off and learning about credit. The free credit score at every statement is super convenient.,,,,,0,0,0,0,0,0,5,0,0,,,,,18-30,,,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58467011,5/11/2014,5/11/2014,SITE,APPROVED,,1031065354,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Best Card so far,fjsholey,,,0,No,No,5,5,5,4,5,Yes,,,This card is great. It has cashback bonuses and is accepted pretty much everywhere. I am traveling outside of the country and they do not charge any fee for that. Great website too.,,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,Montana,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58464152,5/11/2014,5/11/2014,SITE,APPROVED,BEN,1031309554,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Discover It for students,alf1,,,0,No,No,4,4,3,2,3,Yes,,,"The perfect card to begin using credit. I would recommend it to any college student looking to build his or her credit. However, I would say I was under the impression I got cash back for every restaurant purchase I made.",,,,,0,0,0,0,0,0,1,0,0,,,,,18-30,2013,North Carolina,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
